State,GL_Premium_Low,GL_Premium_High,GL_Savings,GL_Competitiveness,WC_Rate_5437,WC_Rate_5645
AL,1.9,5.1,52.4,70,0,0
AK,1.5,1.5,0.0,0,0,0
AZ,2.1,4.9,19.3,40,0,0
AR,2.3,4.5,30.5,30,0,0
CA,2.1,6.2,32.2,10,0,0
CO,2.4,6.1,33.3,30,0,0
CT,3.3,5.0,20.0,50,0,0
DE,2.1,4.4,26.7,30,0,0
FL,1.7,6.3,13.1,0,0,0
GA,2.5,4.0,11.0,20,0,0
HI,1.4,3.1,22.1,0,0,0
ID,2.1,4.8,42.6,90,0,0
IL,1.6,4.9,21.1,50,0,0
IN,2.7,4.8,18.9,20,0,0
IA,2.4,3.8,11.9,40,0,0
KS,0.8,5.9,69.4,70,0,0
KY,1.4,4.7,62.7,70,0,0
LA,3.1,8.4,56.5,0,0,0
ME,2.5,3.9,13.0,30,0,0
MD,2.5,4.1,11.1,50,0,0
MA,1.5,4.2,54.6,70,0,0
MI,1.9,4.0,7.0,70,0,0
MN,1.7,5.4,59.4,100,0,0
MS,2.0,5.0,42.5,70,0,0
MO,1.3,3.6,53.5,70,0,0
MT,2.3,5.3,54.3,40,0,0
NE,2.0,3.3,5.5,50,0,0
NV,1.6,4.9,60.1,20,0,0
NH,3.1,5.0,14.5,70,0,0
NJ,4.2,7.5,23.5,70,0,0
NM,2.6,5.0,30.5,30,0,0
NY,5.2,8.7,12.2,10,0,0
NC,2.5,4.4,24.4,40,0,0
ND,2.1,4.5,36.8,40,0,0
OH,2.0,3.8,11.7,50,0,0
OK,2.6,3.5,18.2,10,0,0
OR,2.5,5.9,26.7,90,0,0
PA,2.0,6.3,65.0,50,0,0
RI,2.8,5.7,19.8,30,0,0
SC,4.3,9.8,13.5,30,0,0
SD,2.4,5.9,39.2,70,0,0
TN,1.4,4.3,61.3,70,0,0
TX,1.5,4.9,25.5,20,0,0
UT,2.5,4.5,13.9,100,0,0
VT,2.4,4.1,14.4,50,0,0
VA,1.2,2.9,48.2,40,0,0
WA,2.9,5.7,34.3,10,0,0
WV,2.0,6.3,44.1,50,0,0
WI,2.1,4.7,32.4,50,0,0
WY,2.3,4.1,16.7,40,0,0
